ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_tps_ss,first_token_sec,kvcache_bytes
2048,2048,2192.90,128,43.11,43.11,0.0227,52184476
4096,2048,2099.53,128,42.34,42.34,0.0234,80373148
6144,2048,2060.46,128,42.22,42.22,0.0238,108561820
8192,2048,2037.76,128,41.40,41.40,0.0239,136750492
10240,2048,2012.25,128,41.01,41.01,0.0244,164939164
12288,2048,1989.11,128,40.84,40.84,0.0244,193127836
14336,2048,1966.11,128,40.73,40.73,0.0245,221316508
16384,2048,1955.30,128,41.44,41.44,0.0242,249505180
18432,2048,1935.96,128,41.04,41.04,0.0244,277693852
20480,2048,1914.91,128,41.03,41.04,0.0245,305882524
22528,2048,1898.38,128,40.90,40.90,0.0245,334071196
24576,2048,1879.49,128,40.67,40.67,0.0247,362259868
26624,2048,1858.05,128,40.54,40.54,0.0248,390448540
28672,2048,1837.89,128,40.35,40.35,0.0249,418637212
30720,2048,1822.75,128,40.17,40.17,0.0250,446825884
32768,2048,1807.79,128,37.85,37.84,0.0251,475014556
34816,2048,1730.40,128,37.20,37.20,0.0269,503203228
36864,2048,1718.79,128,36.91,36.91,0.0271,531391900
38912,2048,1704.99,128,36.92,36.92,0.0272,559580572
40960,2048,1688.19,128,36.91,36.91,0.0272,587769244
43008,2048,1671.94,128,36.86,36.86,0.0272,615957916
45056,2048,1654.71,128,36.75,36.75,0.0273,644146588
47104,2048,1638.36,128,36.67,36.67,0.0273,672335260
49152,2048,1626.09,128,36.56,36.56,0.0274,700523932
51200,2048,1601.30,128,36.41,36.41,0.0275,728712604
53248,2048,1589.22,128,36.30,36.30,0.0277,756901276
55296,2048,1573.82,128,36.06,36.06,0.0277,785089948
57344,2048,1560.34,128,36.00,36.00,0.0278,813278620
59392,2048,1543.59,128,35.89,35.89,0.0279,841467292
61440,2048,1534.18,128,35.67,35.67,0.0281,869655964
63488,2048,1519.51,128,35.46,35.46,0.0282,897844636
65536,2048,1508.80,128,35.34,35.34,0.0283,926033308
